query_id,adaptive_candidate_id,oracle_candidate_id,adaptive_candidate_f1,oracle_f1,selection_regret,zero_regret,oracle_agreement
56e1ded7cd28a01900c67bd6,bge_small_c512_k3,minilm_c256_k3,0.3157894736842105,0.6060606060606061,0.29027113237639557,0.0,0.0
56e1e9dfe3433e1400423200,bge_small_c512_k3,minilm_c256_k3,0.3571428571428571,1.0,0.6428571428571429,0.0,0.0
56e20a3ae3433e140042324e,minilm_c256_k3,minilm_c256_k5,0.18181818181818182,1.0,0.8181818181818181,0.0,0.0
56e749dd00c9c71400d76f54,bge_small_c512_k3,minilm_c256_k5,0.4,0.4,0.0,1.0,0.0
56e74af500c9c71400d76f65,bge_small_c256_k3,minilm_c512_k3,0.1111111111111111,0.7142857142857143,0.6031746031746033,0.0,0.0
56e74af500c9c71400d76f68,bge_small_c512_k3,minilm_c256_k3,0.2857142857142857,0.2857142857142857,0.0,1.0,0.0
56e759bb00c9c71400d77001,bge_small_c256_k3,minilm_c512_k3,0.631578947368421,0.9090909090909091,0.27751196172248804,0.0,0.0
56e75e4500c9c71400d7702e,bge_small_c256_k5,minilm_c256_k3,1.0,1.0,0.0,1.0,0.0
56e76abf37bdd419002c3f79,bge_small_c512_k5,minilm_c512_k3,0.2857142857142857,0.3636363636363636,0.07792207792207789,0.0,0.0
56e76b8337bdd419002c3f82,bge_small_c512_k5,minilm_c256_k5,0.2222222222222222,1.0,0.7777777777777778,0.0,0.0
56e76de800c9c71400d77125,bge_small_c512_k5,minilm_c512_k5,0.3333333333333333,0.6153846153846153,0.282051282051282,0.0,0.0
56e773fa00c9c71400d7714d,bge_small_c256_k3,minilm_c256_k3,0.33333333333333337,0.4444444444444445,0.1111111111111111,0.0,0.0
56e7752337bdd419002c3fd6,bge_small_c512_k5,bge_small_c256_k5,0.04545454545454545,1.0,0.9545454545454546,0.0,0.0
56e777e500c9c71400d77177,bge_small_c256_k3,minilm_c256_k3,1.0,1.0,0.0,1.0,0.0
56e77e4a00c9c71400d771b3,bge_small_c512_k5,bge_small_c256_k3,0.0,0.052631578947368425,0.052631578947368425,0.0,0.0
56e77e4a00c9c71400d771b4,bge_small_c512_k5,minilm_c512_k5,1.0,1.0,0.0,1.0,0.0
56f7e9caaef2371900625c58,bge_small_c256_k5,bge_small_c256_k5,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0
56f7eba8a6d7ea1400e172cd,bge_small_c512_k5,bge_small_c256_k5,0.07407407407407407,0.25,0.17592592592592593,0.0,0.0
56f7ffadaef2371900625d5e,bge_small_c256_k3,bge_small_c512_k3,0.3157894736842105,0.8571428571428571,0.5413533834586466,0.0,0.0
56f81537aef2371900625db7,bge_small_c256_k3,minilm_c256_k3,0.35294117647058826,1.0,0.6470588235294117,0.0,0.0
56f827caa6d7ea1400e1743a,bge_small_c512_k3,minilm_c512_k3,0.5,1.0,0.5,0.0,0.0
56f827caa6d7ea1400e1743b,bge_small_c256_k3,minilm_c256_k3,0.18181818181818182,0.18181818181818182,0.0,1.0,0.0
56f82b25a6d7ea1400e17458,bge_small_c512_k3,minilm_c256_k5,0.5945945945945946,0.7142857142857143,0.11969111969111967,0.0,0.0
56f8507fa6d7ea1400e1754b,bge_small_c256_k3,minilm_c256_k3,0.5,0.5,0.0,1.0,0.0
56f8720eaef2371900626090,bge_small_c256_k3,bge_small_c256_k3,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0
56f87760aef23719006260ce,bge_small_c256_k5,minilm_c256_k5,0.25,0.33333333333333337,0.08333333333333337,0.0,0.0
